customer_id,borrower_type,borrower_age_or_company_age,gender_or_company_entity_type,education_or_company_size,income,employment_experience_or_years_in_business,home_ownership_or_business_premises,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,credit_history_length_years,credit_score,previous_loan_defaults_on_file,loan_status
CUST00001,Corporate,21,Partnership,Micro Enterprise,36977,17,Leased Business Premises,23000,Debt Restructuring,11.87,0.11,17,454,Yes,0
CUST00002,Corporate,6,Partnership,Medium Enterprise,73126,4,Pledged Business Asset,170000,Staff Training & Capacity Building,11.73,0.24,4,418,Yes,0
CUST00003,Individual,26,female,Associate,26606,1,MORTGAGE,21580,MEDICAL,11.03,0.06,7,419,Yes,0
CUST00004,Individual,29,male,Associate,102856,5,MORTGAGE,588469,HOMEIMPROVEMENT,11.32,0.08,6,420,Yes,0
CUST00005,Corporate,15,Share Company,Small Enterprise,25292,9,Owned Business Premises,24000,Working Capital,11.34,0.1,9,473,Yes,0
CUST00006,Individual,26,male,Associate,87394,2,MORTGAGE,21994,VENTURE,7.65,0.02,5,430,Yes,0
CUST00007,Individual,22,male,Bachelor,58877,2,MORTGAGE,23500,MEDICAL,6.54,0.06,3,431,Yes,0
CUST00008,Individual,23,female,High School,65821,3,MORTGAGE,57750,EDUCATION,10.38,0.12,4,431,No,1
CUST00009,Individual,23,male,Associate,73116,5,MORTGAGE,172000,MEDICAL,13.06,0.3,3,434,Yes,0
CUST00010,Corporate,13,PLC,Micro Enterprise,44351,9,Leased Business Premises,58400,Working Capital,10.14,0.09,11,470,Yes,0
CUST00011,Individual,24,female,High School,111593,1,RENT,591000,DEBTCONSOLIDATION,7.51,0.11,4,435,Yes,0
CUST00012,Individual,27,male,Associate,205080,3,RENT,175000,PERSONAL,16.32,0.12,10,435,Yes,0
CUST00013,Individual,27,female,Associate,72832,6,MORTGAGE,25000,HOMEIMPROVEMENT,11.31,0.07,5,435,Yes,0
CUST00014,Individual,22,male,High School,65781,0,RENT,57000,PERSONAL,14.96,0.11,3,437,No,1
CUST00015,Individual,25,male,High School,168736,1,MORTGAGE,360000,HOMEIMPROVEMENT,11.14,0.06,3,437,Yes,0
CUST00016,Individual,22,female,High School,24940,0,RENT,60000,EDUCATION,7.49,0.4,4,439,No,1
CUST00017,Corporate,19,Private Limited Company,Medium Enterprise,69330,14,Leased Business Premises,170000,Staff Training & Capacity Building,11.4,0.14,12,492,Yes,0
CUST00018,Individual,25,female,High School,78904,2,RENT,59000,EDUCATION,10.4,0.11,4,439,Yes,0
CUST00019,Individual,26,male,Associate,41848,1,RENT,24200,PERSONAL,16.82,0.1,3,440,No,1
CUST00020,Individual,22,male,High School,47417,2,RENT,24000,EDUCATION,10.59,0.08,3,441,Yes,0
CUST00021,Individual,23,female,High School,29861,1,RENT,25000,DEBTCONSOLIDATION,10.11,0.17,4,441,Yes,0
CUST00022,Individual,24,male,High School,60802,2,MORTGAGE,115000,VENTURE,9.2,0.25,3,441,Yes,0
CUST00023,Individual,23,male,Associate,63046,1,RENT,58400,VENTURE,9.35,0.13,3,441,Yes,0
CUST00024,Individual,21,female,High School,33172,0,MORTGAGE,56000,MEDICAL,14.46,0.18,4,443,No,1
CUST00025,Corporate,9,Sole Proprietor Business,Medium Enterprise,29839,7,Mortgaged Commercial Property,21000,Debt Restructuring,11.1,0.06,8,399,Yes,0
CUST00026,Individual,28,female,High School,72050,7,RENT,25000,HOMEIMPROVEMENT,5.79,0.07,10,444,Yes,0
CUST00027,Corporate,20,Private Limited Company,Micro Enterprise,37316,13,Mortgaged Commercial Property,25600,Debt Restructuring,10.61,0.13,12,494,Yes,0
CUST00028,Corporate,18,Partnership,Small Enterprise,94758,11,Leased Business Premises,170000,Premises Improvement,10.7,0.07,11,416,Yes,0
CUST00029,Corporate,8,Private Limited Company,Large Corporate,43956,6,Mortgaged Commercial Property,25500,Staff Training & Capacity Building,12.05,0.04,7,461,Yes,0
CUST00030,Individual,31,male,Associate,24768,6,RENT,25000,MEDICAL,16.54,0.2,8,446,No,1
CUST00031,Corporate,15,Private Limited Company,Small Enterprise,45716,9,Owned Business Premises,170000,Debt Restructuring,14.38,0.11,12,346,Yes,1
CUST00032,Corporate,19,PLC,Small Enterprise,53432,13,Mortgaged Commercial Property,60000,Working Capital,13.37,0.07,15,387,Yes,1
CUST00033,Individual,25,female,Bachelor,35409,2,RENT,114800,MEDICAL,7.49,0.42,3,448,No,1
CUST00034,Individual,22,male,Associate,30687,0,RENT,24800,MEDICAL,10.65,0.16,2,448,Yes,0
CUST00035,Individual,21,male,Bachelor,64383,0,RENT,60000,DEBTCONSOLIDATION,10.62,0.16,3,449,Yes,0
CUST00036,Corporate,12,Partnership,Small Enterprise,51706,5,Owned Business Premises,112000,Staff Training & Capacity Building,12.61,0.08,6,478,Yes,0
CUST00037,Individual,22,male,Associate,58920,0,RENT,24500,HOMEIMPROVEMENT,9.76,0.08,2,450,No,1
CUST00038,Individual,21,male,High School,31253,0,RENT,56000,EDUCATION,7.49,0.19,3,450,Yes,0
CUST00039,Corporate,25,Sole Proprietor Business,Micro Enterprise,42640,21,Leased Business Premises,113065,Working Capital,13.04,0.16,21,422,Yes,0
CUST00040,Corporate,18,PLC,Small Enterprise,54848,12,Mortgaged Commercial Property,57200,Working Capital,10.92,0.07,15,431,Yes,0
CUST00041,Corporate,26,Private Limited Company,Small Enterprise,120878,23,Leased Business Premises,360000,Healthcare Business Financing,11.65,0.15,24,476,Yes,0
CUST00042,Corporate,16,PLC,Medium Enterprise,56530,14,Pledged Business Asset,60000,Business Expansion,8.87,0.09,14,520,Yes,0
CUST00043,Individual,24,female,High School,61005,3,MORTGAGE,112500,VENTURE,9.32,0.2,2,453,Yes,0
CUST00044,Corporate,18,Sole Proprietor Business,Small Enterprise,40325,14,Mortgaged Commercial Property,58000,Business Expansion,10.64,0.05,12,426,Yes,0
CUST00045,Individual,24,male,High School,20999,1,MORTGAGE,23900,EDUCATION,11.01,0.19,2,453,No,1
CUST00046,Individual,23,male,High School,54361,0,RENT,21500,EDUCATION,11.63,0.03,2,454,Yes,0
CUST00047,Individual,25,male,High School,39045,0,RENT,58000,PERSONAL,12.61,0.2,4,454,Yes,0
CUST00048,Corporate,26,PLC,Medium Enterprise,29070,21,Owned Business Premises,25000,Healthcare Business Financing,9.72,0.11,19,503,Yes,0
CUST00049,Individual,25,female,Bachelor,55201,0,MORTGAGE,24000,DEBTCONSOLIDATION,6.62,0.07,4,455,Yes,0
CUST00050,Individual,27,female,High School,55051,4,RENT,23600,VENTURE,12.42,0.07,8,455,Yes,0
CUST00051,Individual,44,male,High School,43471,16,RENT,24500,DEBTCONSOLIDATION,14.59,0.1,11,455,No,1
CUST00052,Individual,34,male,Associate,55966,12,RENT,25709,PERSONAL,13.47,0.1,9,455,Yes,0
CUST00053,Individual,30,male,High School,33374,9,RENT,58402,EDUCATION,11.18,0.25,9,455,No,1
CUST00054,Corporate,18,Share Company,Medium Enterprise,83745,16,Leased Business Premises,59000,Staff Training & Capacity Building,14.06,0.14,17,450,Yes,1
CUST00055,Individual,29,female,High School,104273,9,MORTGAGE,365000,HOMEIMPROVEMENT,16.82,0.24,9,456,Yes,0
CUST00056,Individual,27,male,Bachelor,140239,7,MORTGAGE,588000,PERSONAL,8.62,0.13,9,456,Yes,0
CUST00057,Individual,26,female,Bachelor,70880,2,MORTGAGE,25245,MEDICAL,19.43,0.07,3,457,No,1
CUST00058,Corporate,20,Partnership,Small Enterprise,73084,19,Leased Business Premises,59000,Debt Restructuring,9.51,0.14,20,510,Yes,0
CUST00059,Corporate,5,Private Limited Company,Micro Enterprise,97526,4,Mortgaged Commercial Property,56000,Premises Improvement,10.51,0.05,7,467,Yes,0
CUST00060,Individual,22,male,Associate,91074,0,RENT,112000,EDUCATION,11.01,0.13,2,458,Yes,0
CUST00061,Individual,27,female,High School,24043,0,MORTGAGE,21400,VENTURE,16.77,0.06,6,458,Yes,0
CUST00062,Individual,25,female,High School,100544,4,MORTGAGE,375000,DEBTCONSOLIDATION,12.37,0.25,3,458,Yes,0
CUST00063,Corporate,16,PLC,Small Enterprise,45500,13,Leased Business Premises,23000,Staff Training & Capacity Building,14.68,0.19,15,446,Yes,1
CUST00064,Corporate,22,Private Limited Company,Small Enterprise,90764,16,Mortgaged Commercial Property,172000,Premises Improvement,11.04,0.04,18,445,Yes,0
CUST00065,Individual,27,male,Associate,60983,2,MORTGAGE,58400,MEDICAL,11.01,0.14,7,459,No,1
CUST00066,Individual,23,female,High School,74473,0,RENT,170000,MEDICAL,11.14,0.27,2,460,No,1
CUST00067,Individual,23,female,High School,38120,0,RENT,22400,PERSONAL,13.98,0.06,4,460,No,1
CUST00068,Corporate,11,Private Limited Company,Medium Enterprise,43154,6,Owned Business Premises,172550,Staff Training & Capacity Building,9.99,0.1,8,468,Yes,0
CUST00069,Individual,23,male,Bachelor,48187,0,OWN,114000,EDUCATION,7.29,0.29,3,460,Yes,0
CUST00070,Individual,22,female,High School,73082,1,MORTGAGE,110950,EDUCATION,11.11,0.15,3,460,Yes,0
CUST00071,Corporate,18,Private Limited Company,Small Enterprise,65817,11,Leased Business Premises,57500,Healthcare Business Financing,13.93,0.1,13,377,Yes,1
CUST00072,Individual,28,female,Bachelor,133093,6,MORTGAGE,592000,MEDICAL,8.94,0.09,7,460,Yes,0
CUST00073,Individual,26,male,Bachelor,94578,1,MORTGAGE,118000,EDUCATION,13.44,0.19,3,460,Yes,0
CUST00074,Individual,28,female,Bachelor,53863,5,RENT,115000,EDUCATION,11.55,0.28,7,460,No,1
CUST00075,Individual,21,male,High School,29647,0,RENT,24600,EDUCATION,13.99,0.16,2,461,Yes,0
CUST00076,Individual,26,male,Associate,68258,2,MORTGAGE,116000,MEDICAL,11.01,0.23,2,461,No,1
CUST00077,Corporate,23,Private Limited Company,Small Enterprise,39118,17,Leased Business Premises,56400,Staff Training & Capacity Building,11.7,0.18,20,493,Yes,0
CUST00078,Corporate,22,Share Company,Micro Enterprise,49139,20,Owned Business Premises,24200,Healthcare Business Financing,10.42,0.1,20,494,Yes,0
CUST00079,Corporate,26,Share Company,Small Enterprise,47141,25,Pledged Business Asset,57500,Debt Restructuring,11.25,0.11,25,513,Yes,0
CUST00080,Individual,28,female,High School,139299,7,MORTGAGE,598000,DEBTCONSOLIDATION,10.87,0.13,9,461,Yes,0
CUST00081,Individual,21,male,High School,22735,0,RENT,22000,EDUCATION,5.42,0.09,3,462,Yes,0
CUST00082,Individual,24,female,Bachelor,91953,0,MORTGAGE,112000,PERSONAL,6.03,0.13,2,462,Yes,0
CUST00083,Individual,27,female,Master,55222,3,RENT,57600,MEDICAL,14.59,0.14,8,462,No,1
